id,sentiment_food,sentiment_environment,sentiment_service,sentiment_value,sentiment_consistency,sentiment_reputation,sentiment_convenience,sentiment_innovation,sentiment_family_friendly,review_id,labeler_id
1,1,0,1,1,0,0,0,0,0,27504,1
2,1,1,1,1,0,0,0,0,0,27504,4
3,1,0,1,1,0,0,0,0,0,15302,16
4,1,0,1,0,0,0,0,0,0,28453,16
5,1,1,1,0,0,1,0,0,0,26339,16
6,1,1,1,0,0,1,0,0,0,19093,16
7,1,0,1,1,0,0,0,0,0,39154,16
8,1,0,1,1,1,0,0,0,0,46474,16
9,1,1,1,1,0,0,0,0,0,40725,16
10,1,0,1,1,1,0,0,0,0,40498,16
11,1,1,1,0,1,0,0,0,0,11261,16
12,1,0,1,1,0,0,0,0,1,27840,16
13,0,0,0,1,0,1,0,0,0,35856,16
14,1,1,1,1,0,0,0,0,0,33458,16
15,1,1,1,1,0,1,0,0,0,29103,16
16,1,1,1,1,1,1,0,1,0,38772,16
17,1,1,1,0,0,0,0,0,0,25330,16
18,1,1,1,0,0,1,0,1,0,26148,16
19,1,1,0,0,1,1,1,0,0,28244,16
20,1,0,1,0,0,1,0,0,0,27475,16
21,1,1,0,0,0,0,0,0,0,36237,16
22,1,1,0,1,1,0,0,1,0,23810,16
23,1,0,1,0,1,0,0,0,0,45933,16
24,1,1,1,0,0,0,0,0,0,10930,16
25,1,0,1,1,1,0,0,1,0,22390,16
26,1,1,1,1,0,0,0,0,0,33740,16
27,1,0,1,1,1,0,0,1,0,22299,16
28,1,1,1,1,1,0,0,0,0,45184,16
29,1,1,1,1,0,1,0,0,0,36995,16
30,1,1,1,0,0,0,0,0,0,14587,16
31,1,0,1,0,0,0,0,0,0,45003,16
32,1,1,0,0,0,0,0,0,0,26823,16
33,1,0,0,1,1,0,0,0,0,46670,16
34,0,1,1,1,1,1,0,1,0,37054,16
35,1,1,1,1,0,0,0,0,0,33458,4
36,1,0,1,0,0,1,0,1,0,45239,16
37,1,1,0,0,0,1,0,0,0,32354,16
38,1,0,1,0,0,0,0,0,0,8377,16
39,1,0,1,0,0,1,0,1,0,40619,16
40,1,1,1,1,0,0,0,0,0,22132,16
41,1,0,0,1,0,0,0,0,0,13734,16
42,1,0,1,1,0,1,0,0,0,26167,16
