,Integration Type,Language,Sentiment,Categories,Text,pred
2,zomato,eng,1,food,OMG this place is really very good awesome there food is so delicious can't explained in words Desert gulab jamun OMG mind blowing that was Already try once if you got time,1
3,zomato,eng,1,food,"I am surprised the reviews on Zomato are low, it's easily a 4+ restaurant. They have a very interesting type Indian food in tapas style with a modern twist. The portion sizes are small as with tapas. The presentation is nice and the food tasted good. I have been a few times to the place and always left happy.",1
21,zomato,eng,1,experience;food;convenience;environment,Especially love their raviolis with the mushroom sauce! It is amazing! Als the location in príncipe real is brilliant as they have a great garden (which you would never expect from the outside),1
56,zomato,eng,1,food,"When you think about eating healthy and good in a nice Place, Amélia could be a good suggestion. In general the brunch was good, the atmosphere was pleasant and the waiters were kind.   Regarding the food the only things we can suggest is adding a bit of lemon to the avocado toast to give it a zesty touch that combines perfectly with the salty fluffiness of the bread and the creamy avocado.   We loved the crunchiness of the bread on the outside and when you bite it you can taste and feel how fresh it it. The pancakes could be a bit less crunchy on the outside because when it starts getting cold and you mix it with the maple syrup can be difficult to cut and eat, however the taste is amazing.   The granola with fruits was really good but if they add a bit less of cinnamon, you can taste better the rest of the ingredients.   In general terms we totally recommend it for small groups and couple but as a lot of families go there with kids, it could a bit uncomfortable if you wanna have a chill Sunday brunch.   Thank you guys for the great service you offer us today! 😁",1
58,tripadvisor,eng,1,food;environment,"Love this place for lunch! With newly added seating areas (including couches and Adirondack chairs), there are also high tables on the patio and also sheltered indoor seating, making finding a comfortable place pretty easy! The food is casual but good. There is a good beer selection.It's a great place to hit a bucket of balls (or not), relax, and enjoy lunch and a cold one!",1
61,tripadvisor,eng,1,consistency;experience;food;service,"Just round the corner from the Palladium, we had booked an early pre-gig dinner at one of our favourite restaurants, which is family owned.This brance is smaller but the service was as good and the food nice. An attentive team and great fresh food is a winning combination!",1
63,tripadvisor,eng,1,experience;food,"I've been for lunch with my family,  we had veal with lemon and it was really good, very tasty. chicken Caesar salad was good, too",1
65,tripadvisor,eng,1,experience;food;service;value;reputation,"Looking for somewhere to eat prior to a show at the London Palladium, we stumbled across this gem of a restaurant. Altough very busy, the staff quickly found us a table even though we had not booked. We chose the 3 course set menu and each course was superb. in fact the pasta I had was the best I have ever tasted. This is a very busy family run restaurant so I think booking would be a good option. Without doubt, a jewel in the crown, fabulous food, fabulous staff, brilliant.",1
70,tripadvisor,eng,1,food;service,"We visited here after a night at Phantom of the Opera so it was quite late on. We sat at our table ordered our food and drink and moments later our drinks arrived, I'm sorry to say the gin and tonic didn't taste too good and I can only guess it was watered down or something else suspicious, now I know I should have complained but as I said it was late and I couldn't be bothered. Shortly after our food arrived and it was really nice, it tasted fresh and was really well flavoured but because of the drinks we decided to not have desert or another drink and just paid the bill and just left. Now I don't want to be harsh because I realise the owner may not know he has a bad bottle of gin and me not complaining at the time doesn't help, but the food was tasty and the waitress was really pleasant.",-1
72,tripadvisor,eng,1,experience;food;service;value;reputation,"So just had a couple of hours to kill in London after the Six Nations, and my son decided that spaghetti was the way forward. We were seated quickly with no reservation, despite the restaurant being busy. Order taken quickly, and the food presented quickly. The staff were spot on, and the prices exactly worth what we paid. The food itself was delicious, and authentic. Will visit this chain again for sure.",1
73,tripadvisor,eng,1,experience;environment;reputation,I wanted to try it. I see them everywhere. The ambiance is adorable. The food is ordinary. Kinda tastes like the pasta I make at home. ,1
80,tripadvisor,eng,1,food;service;reputation,"We had three different burgers and all of them were very nice. Good quality, a lot to choose and the service was great. A place I recommend!",1
85,tripadvisor,eng,1,experience;food;service,"We turned up at Middletons for a work meal out, our original venue having cancelled at short notice. Despite being a large party of 15+, we received excellent service from our waitress Kayleigh and all the kitchen staff and had a thoroughly enjoyable evening.",1
87,tripadvisor,eng,1,experience;food;environment,"Popped in today , nice feel to the place . Great big heavy Door to open to get in .  Nice buzz in the resteraunt . Me & the mrs had the meal deal 3 course nice ribs and steak baguettes 🥖 and fries . Desert sticky toffee and ice cream . £9.99 each and a peroni each very nice and will go back .",1
89,tripadvisor,eng,1,food;service,"We went to Ellis gourmetburger this week, I ordered the funcky chicken and my friend ordered the Ellis special 2.0. Had fries and onion rings as sides. The food was delicious en the staff was very friendly.",1
90,tripadvisor,eng,1,experience;food;service,"Today as it's my partners birthday, we drew a short straw for a dinner out and found ourselves at this surprise called MIDDLETONS steakhouse in Milton Keynes. This turned out to be a wonderful experience.First we were greeted and quickly shown to our table and had excellent service with our orders of food and drinks.Our server LISA quietly arranged a small birthday cake complete with candles. QUITE a surprise and excellent  service throughout. A good atmosphere and quality food.will certainly visit  again.",1
92,tripadvisor,eng,1,food;service,"Excellent food, Friendly staff who are attentive and a great atmosphere What more could you ask for Keep up the great service",1
93,tripadvisor,eng,1,reputation;food;service,Visited Tuesday afternoon..warm greeting..Fixed price menu is fantastic value for money..however I went for the Lobster..which was great..OH had fixed menu..ribs to start..chicken butterfly mains..summer fruit pavlova..service was very good and swift..RECOMMENDED,1
94,tripadvisor,eng,1,experience;food,"Ordered lobster with jacket potatoes, excellent taste. Would be happier if they gives discounts to students.",-1
95,tripadvisor,eng,1,experience;food,Came here one lunchtime so we could have from the set menu (which is fantastic). I had to haddock goujons for starter and burger for main both of with was very impressed with! No time for a dessert but would love to have one next time. Both my friends I went with both thoroughly enjoyed their meals as well. We will be back! ,1
96,tripadvisor,eng,1,experience;food;service,"We had fantastic meal with all food of high quality and good portion sizes. Highlight was are server Marta who looked after us well, she is incredibly cheerful, positive and open. Deserves special commendation for her view on life and approach.",1
97,tripadvisor,eng,1,food;service;environment,Nice place with friendly straff and good burgers. Besides your normal cheeseburger there is also some unusual combination which May be fin to try out. The fries however where disappointing. You will find better ones in the kiosk just outside. ,1
98,tripadvisor,eng,1,experience;food;service;reputation,"I recently took a trip to this incredible  restaurant and at work of the set menu, the food was incredible and the service even better! We were served by the lovely Jade, she took great care of us and was attentive. She went above and beyond to make sure our visit  was the best we could possibly have. The starters came out quick and were  to die for... highly recommend!!!!",1
